      C0  C1  C2  C3  C4  C5  C6  C7  C8  C9
  R0  67  72  93   5   9  54  82  42  84  98
  R1  38  53  71  40  29  43  67  52  67  80
  R2  64  56  62  48  37  36  49  49  59  66
  R3  44  51  57  49  45  39  44  43  52  57
  R4  58  52  57  53  52  47  44  43  47  53
  R5  49  46  52  51  52  52  50  47  47  49
  R6  43  40  42  44  52  54  53  49  50  53
  R7  33  36  41  42  48  46  49  53  47  51
  R8  47  42  36  40  39  46  46  48  45  46
  R9  35  40  38  37  36  41  40  47  48  48


     C0  C1  C2  C3  C4  C5  C6  C7  C8 C9
  R0  .   .   .   5  9  .   .   .   .   .   
  R1  .   .   .   40  29  .   .   .   .   .   
  R2  .   .   .   48  37  36  .   .   .   .   
  R3  44  51  57  49  45  39  44  43  .   .   
  R4  .   52  57  53  52  47  44  43  47  .   
  R5  .   46  52  51  52  52  50  47  47  .   
  R6  .   40  42  44  52  .   .   .   .   .   
  R7  33  36  41  42  48  46  .   .   .   .   
  R8  .   .   36  40  39  46  46  .   .   .   
  R9  .   .   .   37  36  41  40  .   .   .  
